Country,Sales,Date,Time
China,266.94,1/13/2018 0:00,3:05:00 AM
China,263.64,1/14/2018 0:00,3:45:00 AM
China,8.0,1/18/2018 0:00,3:49:00 AM
China,139.93,1/21/2018 0:00,2:39:00 AM
Brazil,171.7,3/11/2018 0:00,4:49:00 AM
South,488.75,3/12/2018 0:00,9:10:00 AM
Bangladesh,3.6,3/28/2018 0:00,10:14:00 AM
Brazil,509.83,5/10/2018 0:00,4:34:00 AM
Brazil,3.33,6/3/2018 0:00,2:41:00 AM
Colombia,539.95,6/14/2018 0:00,8:08:00 AM
Indonesia,4.4,7/10/2018 0:00,3:15:00 AM
France,359.64,9/3/2018 0:00,10:28:00 AM
Greece,1596.0,9/15/2018 0:00,3:11:00 AM
China,359.88,9/30/2018 0:00,6:52:00 AM
France,0.0,4/15/2019 0:00,1:42:00 AM
Japan,773.11,4/19/2019 0:00,11:31:00 AM
Colombia,189.81,5/17/2019 0:00,4:13:00 AM
Indonesia,89.85,5/19/2019 0:00,5:37:00 AM
China,43.89,7/31/2019 0:00,8:48:00 AM
Indonesia,4.36,8/25/2019 0:00,5:27:00 AM
Philippines,0.0,9/17/2019 0:00,3:31:00 AM
Indonesia,0.0,10/3/2019 0:00,9:05:00 AM
Philippines,6.4,12/27/2019 0:00,10:36:00 AM
Ecuador,1.2,2/17/2020 0:00,3:09:00 AM
Philippines,8.36,3/3/2020 0:00,12:29:00 PM
China,32.98,3/8/2020 0:00,3:57:00 AM
China,199.92,4/1/2020 0:00,1:10:00 AM
China,0.0,5/17/2020 0:00,2:15:00 AM
Panama,186.67,7/23/2020 0:00,1:59:00 AM
Brazil,13.6,8/14/2020 0:00,3:17:00 AM
United,9.38,8/22/2020 0:00,1:23:00 AM
China,104.93,8/22/2020 0:00,3:09:00 AM
Indonesia,2.3,8/26/2020 0:00,5:23:00 AM
Mexico,759.62,10/22/2020 0:00,1:19:00 AM
China,207.74,12/15/2020 0:00,4:38:00 AM
Japan,3.06,1/13/2018 0:00,5:27:00 AM
